"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"4375370258000000201","4370987489000000301","CORR","","2026-07-24T07:45:09Z","","IR","","I","FALSE","2026-07-23T23:54:53Z","2026-12-10","2031-12-11","","FALSE","TWSF","TRUE","FALSE","FALSE","4,000,000","4,000,000","AUD","AUD","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","0","","","","","false","","","","3","","A005","","","A005","","MNTH","","6","4714.43973","MNTH","","","MNTH","6","","","6","UFRO","AUD","","","","","false","","","","","","","","","","","TRUE","526,810","AUD","1","","","","","","QZNXC32WWW1N","NA/Swap Fxd Flt AUD","AUD-BBR-BBSW"
"4375338168000000401","","NEWT","TRAD","2026-07-24T07:47:12Z","","IR","","I","TRUE","2026-07-24T07:47:12Z","2026-07-24","2056-07-24","","FALSE","BBSF","FALSE","FALSE","","2,000,000","2,000,000","GBP","GBP","","","","","","","","","","","","","","","","","","","","","","","","0.0503762","","","","","","","","","","","","false","","","","","","A005","","","A005","","YEAR","","1","","YEAR","","","YEAR","1","","","1","","","","","","","false","","","","","","","","","","","TRUE","","","","0.0065808","","3","","","QZ0W41WLZFFQ","NA/Swap OIS GBP","GBP-SONIA-COMPOUND"
"4375027127000000301","","NEWT","TRAD","2026-07-24T07:35:39Z","","IR","","I","TRUE","2026-07-24T07:35:39Z","2026-09-16","2028-09-16","","FALSE","BILT","FALSE","FALSE","TRUE","33,000,000","33,000,000","SGD","SGD","","","","","","","","","","","","","","","","","","","","","","","","0.01835","","","","","","","0","","","","","false","","","","3","","A005","","","A005","","MNTH","","6","","MNTH","","","MNTH","6","","","6","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZJQHSR2XNCJ","NA/Swap OIS SGD","SGD-SORA-OIS Compound"
"4375370260000000401","4374914897000000701","CORR","","2026-07-24T07:47:04Z","","IR","","I","FALSE","2026-07-24T07:39:57Z","2026-12-16","2031-12-17","","FALSE","TWSF","TRUE","FALSE","FALSE","5,000,000","5,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","0","","","","","false","","","","3","","A001","","","A004","","MNTH","","6","31355.52420","YEAR","","","MNTH","1","","","6","UFRO","EUR","","","","","false","","","","","","","","","","","TRUE","","","","0","","3","","","QZD2D5QW48H3","NA/Swap Fxd Flt EUR","EUR-EURIBOR-Reuters"
"4375352861000000401","","NEWT","TRAD","2026-07-24T07:47:24Z","","IR","","I","FALSE","2026-07-24T07:47:24Z","2026-09-16","2026-11-04","","FALSE","TPSE","FALSE","FALSE","","3,251,929,911+","3,251,929,911+","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.02411","","","","","","","","","","","","false","","","","","","A004","","","A004","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","","","","","false","","","","","","","","","","","TRUE","","","","0","","4","","","QZVBC83XWXG9","NA/Swap OIS EUR","EUR-EuroSTR-OIS Compound"
"4375370257000000101","4374914896000000601","CORR","","2026-07-24T07:45:47Z","","IR","","I","FALSE","2026-07-24T07:39:57Z","2026-09-16","2056-09-20","","FALSE","TWSF","TRUE","FALSE","FALSE","500,000","500,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","0","","","","","false","","","","3","","A001","","","A004","","MNTH","","6","27380.00000","YEAR","","","MNTH","1","","","6","UFRO","EUR","","","","","false","","","","","","","","","","","TRUE","","","","0","","3","","","QZD2D5QW48H3","NA/Swap Fxd Flt EUR","EUR-EURIBOR-Reuters"
"4375370255000000301","","NEWT","TRAD","2026-07-24T07:47:38Z","","IR","","I","TRUE","2026-07-24T07:47:38Z","2026-07-28","2026-08-28","","","TWSF","FALSE","FALSE","","1,000,000,000","1,000,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.021902","","","","","","","","","","","","false","","","","","","A004","","","A004","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","EUR","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZVBC83XWXG9","NA/Swap OIS EUR","EUR-EuroSTR-OIS Compound"
"4375411154000000201","","NEWT","TRAD","2026-07-24T07:47:43Z","","IR","","I","TRUE","2026-07-24T07:47:43Z","2026-11-04","2026-12-23","","FALSE","TPSE","FALSE","FALSE","","1,600,000,000","1,600,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","0.02504","","","","","","","","","","","","false","","","","","","A004","","","A004","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","","","","","false","","","","","","","","","","","TRUE","","","","0","","4","","","QZVBC83XWXG9","NA/Swap OIS EUR","EUR-EuroSTR-OIS Compound"
"4375352858000000101","1349552408","MODI","TRAD","2026-07-24T07:46:55Z","TRUE","IR","","N","FALSE","2024-07-25T10:22:09Z","2024-07-26","2029-07-26","","FALSE","BILT","FALSE","FALSE","FALSE","2,000,000,000","2,000,000,000","INR","INR","","","","","","","","","","","","","","","","","","","","","","","","0.0623","","","","","","","0","","","","","false","","","","3","","A005","","","A005","","MNTH","","6","","MNTH","","","MNTH","6","","","6","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZKNMPRDNP0G","NA/Swap OIS INR","INR-MIBOR-OIS-COMPOUND"
"4375411155000000301","","NEWT","TRAD","2026-07-24T07:23:29Z","","IR","","I","FALSE","2026-07-24T07:23:29Z","2027-06-16","2028-06-16","","FALSE","BILT","FALSE","FALSE","FALSE","140,000,000","140,000,000","NZD","NZD","","","","","","","","","","","","","","","","","","","","","","","","0.041","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","","MNTH","","","MNTH","6","","","3","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZTWHXTV8809","NA/Swap Fxd Flt NZD","NZD-BKBM FRA"
